violation_type,count
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",97
"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH""]",87
"[""NO PARKING"",""REFUSE TO GO FOR HIRE""]",82
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",80
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH""]",77
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",76
"[""DOUBLE PARKING"",""NO PARKING""]",68
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""NO PARKING""]",65
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DOUBLE PARKING""]",62
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",59
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",57
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",54
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",50
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",48
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",48
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",48
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",48
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",47
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD""]",46
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",46
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""WRONG PARKING""]",42
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",41
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",38
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD""]",38
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",37
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",37
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",36
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING""]",36
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",35
"[""PARKING ON FOOTPATH"",""NO PARKING"",""WRONG PARKING""]",34
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",34
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",33
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING""]",31
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",30
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING""]",30
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD""]",30
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",29
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",28
"[""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",27
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING""]",26
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]",25
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE""]",25
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""DOUBLE PARKING""]",24
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",24
"[""PARKING ON FOOTPATH"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",24
"[""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",24
"[""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",24
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",22
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING""]",22
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",21
"[""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",21
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""DOUBLE PARKING""]",20
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",20
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEFECTIVE NUMBER PLATE""]",19
"[""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",19
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",19
"[""NO PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",19
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",18
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING""]",18
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",18
"[""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",18
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",18
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",18
"[""DOUBLE PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",18
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",18
"[""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",18
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",18
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD""]",17
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",17
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",16
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",16
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",15
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",15
"[""NO PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",15
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",15
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",15
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",15
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",15
"[""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",15
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",14
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING""]",14
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD""]",14
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""USING BLACK FILM/OTHER MATERIALS""]",14
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",14
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",14
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",13
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",13
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",13
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",12
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",12
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""NO PARKING""]",12
"[""WRONG PARKING"",""DEMANDING EXCESS FARE""]",12
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",12
"[""WRONG PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",12
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",12
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",12
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",12
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",11
"[""NO PARKING"",""DEMANDING EXCESS FARE""]",11
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING""]",11
"[""H T V PROHIBITED"",""NO PARKING""]",11
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",10
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE""]",10
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",10
"[""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING""]",10
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING""]",9
"[""DEFECTIVE NUMBER PLATE"",""WITHOUT SIDE MIRROR"",""WRONG PARKING""]",9
"[""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING""]",9
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""NO PARKING""]",9
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",9
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",9
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",9
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""NO PARKING"",""WRONG PARKING""]",9
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""WITHOUT SIDE MIRROR""]",9
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",9
"[""NO PARKING"",""DOUBLE PARKING"",""DEFECTIVE NUMBER PLATE""]",9
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",9
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING""]",8
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING""]",8
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",8
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD""]",8
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",8
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",8
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING""]",8
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING""]",8
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",8
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",8
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",8
"[""PARKING OTHER THAN BUS STOP"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",8
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""DOUBLE PARKING"",""NO PARKING""]",8
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING""]",8
"[""NO PARKING"",""WITHOUT SIDE MIRROR""]",8
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",8
"[""WRONG PARKING"",""PARKING OTHER THAN BUS STOP""]",7
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",7
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",7
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",7
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE""]",7
"[""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",7
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING""]",7
"[""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",7
"[""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD""]",7
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",7
"[""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",7
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",7
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""WRONG PARKING""]",7
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",6
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",6
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""WRONG PARKING""]",6
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",6
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",6
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",6
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",6
"[""REFUSE TO GO FOR HIRE"",""WRONG PARKING""]",6
"[""WRONG PARKING"",""DEMANDING EXCESS FARE"",""REFUSE TO GO FOR HIRE""]",6
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",6
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE"",""DEFECTIVE NUMBER PLATE""]",6
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""WRONG PARKING""]",6
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",6
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""NO PARKING""]",6
"[""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE"",""WRONG PARKING""]",6
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",6
"[""PARKING IN A MAIN ROAD"",""REFUSE TO GO FOR HIRE"",""WRONG PARKING""]",6
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE"",""PARKING OTHER THAN BUS STOP""]",6
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""WITHOUT SIDE MIRROR""]",6
"[""DOUBLE PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",6
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",6
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING""]",6
"[""WRONG PARKING"",""DOUBLE PARKING"",""DEFECTIVE NUMBER PLATE""]",6
"[""NO PARKING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE""]",6
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",6
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",5
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",5
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OTHER THAN BUS STOP""]",5
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",5
"[""DOUBLE PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",5
"[""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",5
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""NO PARKING""]",5
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",5
"[""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING""]",5
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",5
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",5
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",5
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",5
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",5
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""REFUSE TO GO FOR HIRE""]",5
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",5
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR ROAD CROSSING""]",5
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""PARKING ON FOOTPATH""]",5
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",5
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""WRONG PARKING""]",5
"[""WRONG PARKING"",""NO PARKING"",""REFUSE TO GO FOR HIRE""]",5
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""WRONG PARKING""]",5
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",5
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",5
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING""]",5
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",5
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",4
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]",4
